id,label,weight
356,konzipieren,3
329,Bzw,6
357,koordinieren,1
351,explizit,4
341,Theoriebezug,1
362,theoretisch,4
331,Grundlag,1
354,haufig,4
355,herangezog,1
344,Verstandnis,6
364,zugrunde,3
337,Reflexion,2
335,Praxis,5
339,Textsammlung,1
348,einzeln,5
347,disziplin,6
330,Gegenuber,1
358,positionieren,1
363,thes,2
346,aktuell,17
338,Stand,2
360,rolle,1
343,Vadis,1
345,Wagen,1
379,derzeit,6
372,Million,1
376,artikeln,1
395,sprachversion,1
387,information,1
378,datenressource,1
380,entdecken,1
381,enzyklopadisch,1
367,Beitrage,3
392,metadat,3
390,literatur,1
389,literarisch,11
370,Lebe,1
398,versammeln,1
366,Autor,6
373,Werk,4
386,genr,1
382,epoch,2
394,relevant,9
388,kategorien,1
365,Auswertung,11
393,metriken,1
384,ermoglicht,6
371,Literatur,2
385,evaluierbar,1
377,aussagen,1
369,Kanonizitat,1
374,Zentrum,4
396,stehen,12
368,Funktionsweise,1
399,vertraut,1
391,machen,8
397,sukzessive,1
375,abfrageskript,1
383,erarbeiten,6
415,austausch,2
419,dafur,5
424,hand,1
407,Machtig,1
425,kommerziell,1
411,Social,1
408,Plattforme,1
416,begeben,1
405,Fediverse,2
429,stellen,30
402,Dezentrale,1
412,Software,4
428,schnittstellen,2
417,beruhend,1
400,Alternative,1
420,dar,10
421,erster,12
432,zweiter,4
414,aussehen,2
422,finden,8
413,Thema,7
409,Posten,2
423,halbtagig,1
431,widmen,5
410,Sicht,3
404,Erkundung,1
403,Diskussion,10
406,Instanz,2
426,neu,22
401,Autodone,1
430,vorstellen,9
427,praxisubung,1
418,bringen,5
457,erkenntnisse,3
435,Ermoglicht,3
469,vormodern,1
442,Sprache,10
464,sprechen,4
460,global,3
443,Suden,2
451,analytisch,1
448,Zugriff,1
433,Bereich,12
458,erlauben,8
461,losung,1
453,bereichen,2
437,Event,1
438,Extraktion,1
444,Topic,2
446,Webanwendung,2
455,darauf,4
454,bestehend,6
467,ubergreifend,1
468,verbinden,5
449,aktuellen,1
436,Etablierung,1
450,allgemein,5
452,anwendbaren,1
445,Vielfalt,1
462,quell,2
440,Laden,1
439,Idee,2
456,erfahrung,4
434,Einzubring,1
465,standardisiert,1
463,schriften,1
466,tragen,2
441,Projektziel,1
459,erreichen,4
447,Zuganglicher,1
493,mögen,4
489,datenzentren,1
476,Kooperation,5
475,Institut,1
471,Bildung,2
482,Universitat,7
472,Forschend,3
474,Inklusion,1
488,datenmanagement,3
496,schaff,2
479,Mittelpunkt,2
481,Praktisch,1
490,erproben,4
487,bewerten,1
484,Zuganglichkeit,4
477,Kriterium,1
485,auftretend,2
492,hurd,1
470,Bereitstellung,2
483,Verwaltung,1
480,Nutzung,5
486,ausgewahlt,2
491,festgestellen,1
478,Losungsansatze,2
495,partizipativ,1
494,notigen,1
473,Impuls,2
509,beschaftigen,4
503,Erschließung,4
502,Erhaltung,2
500,Dokumentation,4
512,fruh,7
513,kulturerb,1
507,Verfall,1
504,Hardware,1
506,Herausforderung,7
501,Eminent,1
498,Ansatze,3
517,zahlen,2
511,emulatoren,2
516,ursprunglich,3
510,computersystem,1
514,modern,5
515,simulier,1
497,Ansatz,10
499,Arbeit,7
505,Heranzufuhr,1
508,anschließend,3
533,schwerpunken,1
521,Personendat,1
534,teilnehmerinn,1
530,nachnutzen,1
519,Graphdatenbank,2
529,integrier,1
518,Beziehung,6
526,entitat,1
524,analysier,2
522,Verfolgung,1
528,fragestellung,2
531,nutzen,10
523,Vorstellung,2
525,anschaulich,1
532,richten,3
527,forschend,12
520,Interesse,4
543,Film,3
577,videoanalysen,1
568,letzter,6
548,Jahr,22
573,stark,5
580,zunehmen,1
554,Videos,2
575,typischerweise,1
550,Multimodal,1
558,analys,2
570,nehmen,3
555,Zeit,7
536,Anspruch,4
560,deshalb,2
545,Informatik,3
569,method,6
551,Mustererkennung,1
549,Modalitat,1
537,Bedeutung,11
546,Information,10
564,intern,2
540,Dynamik,1
563,ganz,4
572,schreit,1
566,kunstlich,3
547,Intelligenz,2
567,lernens,1
571,schnell,4
544,Implementierung,3
576,umfassend,7
535,Abhilfe,1
579,webbasierte,1
552,Plattform,6
556,Zugang,4
