source,target,weight
1790,74,3
1790,999,1
1790,1790,3
1790,37,3
74,999,1
74,1790,3
74,74,1
74,37,2
999,1790,2
999,74,1
999,37,1
124,999,1
41,41,2
41,55,4
41,37,2
55,37,1
37,143,2
37,74,1
37,55,1
37,87,1
143,74,1
143,55,4
143,87,6
143,143,7
74,55,1
74,87,1
74,143,1
55,87,2
55,143,2
87,143,4
41,143,3
143,41,2
55,41,1
124,124,6
124,143,9
124,87,7
124,324,3
143,324,7
143,124,6
87,324,1
87,124,3
324,143,5
324,124,3
143,999,1
41,324,3
41,999,1
41,124,1
41,87,1
324,999,1
324,324,3
324,55,2
324,87,3
999,143,2
999,324,2
999,124,1
999,55,1
999,87,1
124,55,1
55,324,1
124,37,3
87,87,1
87,37,2
143,37,1
