source,target,weight
548,1619,1
548,548,1
548,88,2
1619,548,1
1619,88,1
111,55,2
111,548,1
55,548,2
49,95,1
87,49,1
87,111,3
87,55,2
49,111,2
49,55,1
111,111,1
55,111,1
1619,121,2
121,121,1
121,87,1
121,111,1
121,15,1
121,95,1
87,15,7
87,95,1
111,15,1
111,95,1
15,95,1
121,1619,1
121,49,2
1619,49,2
49,49,1
55,88,2
55,95,1
55,121,1
88,95,1
88,548,1
88,121,1
95,548,1
95,121,1
548,121,1
87,88,1
87,87,1
55,87,1
55,15,3
88,87,1
88,15,3
15,15,3
