source,target,weight
598,26,5
598,598,1
598,95,2
598,1,2
598,124,2
26,598,2
26,95,1
26,26,3
26,1,3
26,124,3
95,26,2
95,1,1
95,124,3
1,124,3
95,143,4
143,124,4
143,143,3
124,143,2
124,124,1
598,55,3
55,55,2
2326,2326,6
2326,1,3
2326,111,3
1,111,1
1,2326,1
111,2326,1
497,497,1
497,1,4
497,55,2
1,55,1
111,95,2
111,143,1
111,55,3
111,111,3
111,598,2
95,95,1
95,55,4
95,111,4
95,598,2
143,95,1
143,55,2
143,111,2
143,598,1
55,111,3
55,598,1
598,111,2
497,124,1
1,1,1
26,111,1
