source,target,weight
55,221,2
55,87,2
55,55,2
55,1619,4
55,49,3
55,310,4
221,87,1
221,55,2
221,1619,2
221,49,1
221,310,1
87,55,3
87,1619,2
87,49,2
87,310,2
1619,49,1
1619,310,1
1619,1619,1
49,310,1
49,1619,1
310,1619,1
88,1619,1
88,316,2
88,87,1
88,37,3
88,55,3
1619,316,1
1619,87,1
1619,37,4
1619,55,2
316,87,1
316,37,3
316,55,2
87,37,2
37,55,3
37,37,2
55,37,1
310,87,1
310,310,1
310,49,2
1448,1448,4
1448,49,3
221,88,1
1619,1448,2
1448,37,2
37,1448,2
316,88,1
316,316,1
37,316,1
